country,total_value,Code
CHINA ,678877.2,CHN
UNITED ARAB EMIRATES,307810.2,ARE
SAUDI ARAB,292104.1,SAU
U S A,281436.6,USA
SWITZERLAND,243739.3,CHE
IRAQ,182464.6,IRQ
INDONESIA,160452.6,IDN
KOREA RP,154263.9,PRK
GERMANY,148120.8,DEU
AUSTRALIA,142723.7,AUS
NIGERIA,123793.1,NGA
IRAN,121634.4,IRN
QATAR,120671.5,QAT
JAPAN,119750.2,JPN
KUWAIT,112501.9,KWT
HONG KONG,112205.4,HKG
BELGIUM,106676.1,BEL
MALAYSIA,103972.1,MYS
SINGAPORE,98791.38,SGP
VENEZUELA,89129.03,VEN
SOUTH AFRICA,78057.54,ZAF
THAILAND,66191.05,THA
UNITED KINGDOM,63479.69,GBR
RUSSIA,59704.05,RUS
FRANCE,56613.16,FRA
ANGOLA,54337.4,AGO
BRAZIL,53771.14,BRA
ITALY,50440.32,ITA
TAIWAN,44322.88,TWN
VIETNAM ,41001.68,VNM
CANADA,39498.69,CAN
MEXICO,39087.76,MEX
OMAN,31072.58,OMN
NETHERLAND,29697.12,NLD
UKRAINE,24209.44,UKR
ISRAEL,23936.88,ISR
ARGENTINA,22469.58,ARG
CHILE,22110.48,CHL
GHANA,20273.19,GHA
EGYPT ,19367.36,EGY
SPAIN,19262.41,ESP
TURKEY,17125.21,TUR
SWEDEN,16896.66,SWE
COLOMBIA,15571.67,COL
FINLAND,13899.06,FIN
PERU,13872.87,PER
ALGERIA,13143.63,DZA
MOROCCO,11705.47,MAR
MYANMAR,10812.31,MMR
